"","Acid resistance","Aminoglycosides","Arsenic resistance","betalactams","Biocide and metal resistance","Cationic antimicrobial peptides","Copper resistance","Drug and biocide and metal resistance","Drug and biocide resistance","Glycopeptides","Mercury resistance","Metronidazole","MLS","Multi-metal resistance","Nucleosides","Sulfonamides","Tetracyclines","Zinc resistance","Prevotella","Bacteroides","Methanobrevibacter","Fibrobacter","Olsenella","Streptomyces","Pseudomonas","Clostridium","Butyrivibrio","Ruminococcus"
"hessSRR094428",0,0.0117943190810118,0,0.0003547163633387,0,0,0,0,0,0,5.45717482059539e-05,0.00103004174738738,0.116988185216514,0,0,0,0.869778165843543,0,0.149293719680749,0.0937142769462111,0.0413197419917815,0.465920519405489,0.0179045988694045,0.0642278616719965,0.0535440104686997,0.0250579657885933,0.0667709845161045,0.0222463206609717
"wallaceERR983269",0,0.00757153991760382,0,0,0,0,0,0,0,0,0,0.017592695690903,0.0158111568867609,0,0,0,0.959024607504732,0,0.259185771921433,0.0746474673668079,0.363177354942553,0.0696133825597414,0.0241387709818922,0.0496326100617559,0.041894529850731,0.0364394596375978,0.0561964343832495,0.0250742182942381
"shiSRR873602",0,0,0,0,0,0,0,0,0,0,0,0.900908340214699,0,0,0,0,0.0990916597853011,0,0.485468665802496,0.143062401232579,0.0309099474558938,0.0741391955168587,0.0716624311910841,0.0322909891688979,0.039574407654852,0.0585103554622072,0.0396604897242974,0.0247211167908345
"stewartERR2027926",0,0.00635479298039791,0,0.0043994720633524,0,0,0,0,0,0,0,0.043261475289632,0.0139805445568754,0,0,0,0.932003715109742,0,0.468768613233199,0.101828703473142,0.201597127461429,0.0300620524108806,0.0189767826372773,0.052808792916264,0.0414550941742448,0.0347901871532585,0.0321143636888814,0.0175982828514228
"stewartERR2027923",0,0.00257833081105319,0,0.00341909085813576,0,0,0,0,0,0,0,0.0293145003082787,0.0184967210358164,0,0,0,0.946191356986716,0,0.520036035595341,0.111520384162274,0.144218610509839,0.0397590017650919,0.0295838377909039,0.0375520253716681,0.0374896560720386,0.0371341918283989,0.0199969019171426,0.0227093549873019
"shiSRR873464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640527984762581,0.110387659875138,0.0180210470264163,0.0147117554093862,0.0234261664442268,0.0256278096551441,0.0295071391267839,0.0193334994521492,0.0448315998948672,0.0736253383533074
"shiSRR873608",0,0.032035175879397,0,0,0,0,0,0,0,0,0,0.825376884422111,0,0,0,0,0.142587939698492,0,0.530631277717743,0.124151234988053,0.0398282430120801,0.03644267075087,0.0229051668505647,0.0474069219260768,0.0445965570390053,0.0457948232326357,0.0696679093192009,0.0385751951637699
"stewartERR2027908",0,0.00324723247232473,0,0.00287822878228783,0,0,0,0,0,0,0,0.0157933579335793,0.0539852398523985,0,0.000664206642066421,0.00247232472324723,0.920959409594096,0,0.524770678431425,0.0891828966045057,0.157358647141796,0.0922845500780905,0.0189567120081517,0.0329020552730056,0.0304219561357842,0.0222357935204838,0.0197479075727844,0.0121388032339736
"stewartERR2027893",0,0.00523982265215639,0,0.00513905683192262,0,0,0,0,0,0,0,0.014913341394599,0.0124949617089883,0,0,0,0.962212817412334,0,0.616109911353556,0.136065105822553,0.079399495642485,0.0310701553035299,0.0120057562114522,0.0316418392316127,0.0357184338537679,0.0348313788331269,0.0123624680839336,0.0107954556639822
"shiSRR1222431",0,0.0449308755760368,0,0,0,0,0,0,0,0,0,0.694700460829494,0,0,0,0,0.26036866359447,0,0.544138681056076,0.121457961906484,0.0339284401795987,0.024802478426618,0.0459228308075765,0.0619226148623642,0.0542168831430695,0.0316141839580026,0.0409671483589139,0.0410287773012963
"hessSRR094166",0,0.00856164383561645,0,0,0,0,0,0,0,0,0,0,0.0764321295143214,0,0,0,0.915006226650062,0,0.155558578527475,0.0941433475501925,0.0416983411886148,0.406124718930294,0.0294593059078652,0.11148364794469,0.0772591602717474,0.0219134345317639,0.0363930254703166,0.02596643967704
"stewartERR2027898",0,0.00700967582456388,0,0.00444946677025213,0,0,0,0,0,0,0,0.0137015325941098,0.0215587258987217,0,0.00164206511759305,0.000353132283353344,0.951285401511406,0,0.500754667815277,0.144958985574154,0.078706171558572,0.0453782322508793,0.0422685368070859,0.0235666368408778,0.0269907524189825,0.0847568999900051,0.0369076288973818,0.0157114878467843
"stewartERR2027902",0,0.00574980574980574,0,0.00357420357420358,0,0,0,0,0,0,0,0.0131054131054131,0.00880600880600879,0,0,0,0.968764568764569,0,0.443706035777327,0.0967545685353096,0.227298757735554,0.0651242472437647,0.0216800035497232,0.043638022526876,0.0363680230953863,0.0284116514116389,0.0211773572033728,0.0158413329210478
"shiSRR873605",0,0.0597539543057993,0,0,0,0,0,0,0,0,0,0.860281195079086,0,0,0,0,0.0799648506151141,0,0.546014379958431,0.132736318980717,0.0505166113671289,0.0361088312810065,0.0332433606577167,0.0472499652629043,0.0438536446608564,0.0351816026584711,0.0509152285349132,0.0241800566378553
"stewartERR2027909",0,0.00195752758334322,0,0.00195752758334322,0,0,0,0,0,0,0,0.00913512872226835,0.00418199074623325,0,0,0,0.982767825364812,0,0.509050065465863,0.0908282215682854,0.0875674418766729,0.0168190085113541,0.171014320122841,0.0269624948560273,0.026789841117377,0.0281786741269978,0.0237926355735763,0.0189972967810057
"stewartERR2027929",0,0.00509060339996263,0,0.000700541752288436,0,0,0,0,0,0,0,0.0211563609191108,0.0125163459742201,0,0,0,0.960536147954418,0,0.366997005294878,0.107439713822693,0.215737191421082,0.0134831077080317,0.0372049703356694,0.0604440741218856,0.0503232083779196,0.0712328007160834,0.0478534034765037,0.0292845247252542
"shiSRR873454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546094005066141,0.133475935828877,0.00191162397973544,0.0645426400225161,0.0359403321137067,0.0272941176470588,0.0282015198423867,0.0185848578665916,0.0679335772586546,0.0760213903743315
